company_name,company_number
SCIENTIFIC GAMES INTERNATIONAL HOLDINGS LTD,4359953
MATCHURBAN,2540202
STRAM MARKETING UK LIMITED,14168723
BALLY’S (NEWCASTLE) LIMITED,4655461
PIAZZA LEISURE LIMITED,5252895
ALLWYN LOTTERY SOLUTIONS LIMITED,7553980
EVENT BETTING LIMITED,3836078
BARCREST GROUP LIMITED,3500514
ROCKSTAR COMPETITIONS LTD,15008611
INTHEDETAIL COMPETITIONS LIMITED,15985331
LUCKY DRAW LTD,14274142
PREMIUM DAILY TIPS LTD,15031584
HELPBET SPORTS BETTING ANALYTICS LTD,15183062
NB LEISURE LIMITED,SC160764
CLASSIC LEISURE (NORTHERN) LIMITED,2581191
TAPA LEISURE LTD,13670702
APPLE LEISURE LIMITED,11535027
GRACE MEDIA LIMITED,12374912
ASTORIA BINGO CLUB LIMITED,552926
HARLOW TOWN GREYHOUND ENTERTAINMENT LIMITED,8326686
SCOTSWATCH LTD,SC824174
TIPCOMP LIMITED,12385849
WILLIAM HILL HOLDINGS LIMITED,3688930
TECH TITANS COMPETITIONS LTD,SC824317
WILL HILL LIMITED,3447836
WILLIAM HILL FINANCE LIMITED,3461992
POINTSBET UK LIMITED,13655764
ASSET LEISURE LIMITED,11942769
NO BULL COMPETITIONS LTD,14638051
WILLIAM HILL INVESTMENTS LIMITED,3721293
I-POOLS LIMITED,8082540
THE STARTING PRICE REGULATORY COMMISSION LIMITED,5215217
BRIGHTON PALACE PIER (HOLDINGS) LIMITED,10082699
M COOK BUSINESS LIMITED,15152566
FREE BET SIGNUP LTD,13804202
TAYLORNOVA LIMITED,14607605
BITSPORT LTD,14462804
HAPPY MANAGEMENT LIMITED,14462238
SWIFTY GLOBAL (UK) LTD,13287021
MENDIP COIN COMPANY LTD,11612836
JACKPOT LEISURE LIMITED,4352447
COMBATGAMER LTD,14400438
BIRDCO LTD,9681179
AUSTIN LEISURE LIMITED,7947086
SYSTEMATIC SPORTS LTD,13688812
ST. OSWALD'S HOSPICE PROMOTIONS LIMITED,3146260
FUNKY MONEY LIMITED,15914604
T & D LEISURE LIMITED,5957332
CB GAMING SOLUTIONS LTD,11592880
ASTERIA LEISURE LIMITED,3935592
FESTIVAL RACING ON COURSE LTD,3686880
DOUBLERHYME LIMITED,6673468
DIGITAL LOTO LTD,13802061
LISKEARD LEISURE LIMITED,5994760
REBEL APPS LTD,SC514216
GOLDLOOT LTD,15309950
TIPSTER CHAMPIONS LTD,11777809
TARGETLOCAL LIMITED,2662814
TOM CURRIGAN LIMITED,1349329
HYPOTHESIS LTD,15202068
DARE ME LLC LIMITED,14580091
GRADIA LTD,16034985
BIDDLE LEISURE LIMITED,4359242
BET CENTRE (KIOSK) LIMITED,10964326
GEEK MARKETING LIMITED,7489816
ACTION GAMING LTD,14519237
VENTURE COMPETITIONS LIMITED,15242631
QUEENSCOURT HOSPICE ENTERPRISES LIMITED,2873874
WAR ROOM PRIZES LTD,14610296
PIPE-DREAM (UK) LIMITED,5235828
BLOCK HEIGHT GAME LTD,15034535
GOLDEN DRAGON 18 TABLE GAMES LTD,8096095
BET ON DAVE LTD,10455641
LBC ENTERPRISES LIMITED,15056071
GIVEAWAY FRENZY LIMITED,15109237
RITZ BINGO LTD,8040428
LUXURY LEISURE,2448035
CRAZY COMPS LTD,15141325
FLORRALE LTD,15991583
WILLSTAN PROPERTIES LIMITED,NI004432
GALA CASE LIMITED,NI633573
BOLTON HOSPICE LOTTERY LIMITED,4143584
SPORTECH GAMING LIMITED,4118085
MVMCCARTAN LIMITED,5325294
CROLES AMUSEMENTS LIMITED,4550986
DRS AMUSEMENTS LTD,13811783
RAFFLR LTD,15013699
GRAVES (CUMBERLAND) LIMITED,273979
BETVIP365 LTD.,14251908
COPYBET UK LTD,10949712
LUCKYNUMBER LTD,15014250
POSTCODE LOTTERY LIMITED,4862732
BETTING BIAS LIMITED,7441799
ASLAN 1965 LIMITED,14657707
T.E. CORDWELL (HYDE) LIMITED,653264
ST LUKE'S HOSPICE PROMOTIONS LIMITED,2862345
M.S.S. SUSCH LIMITED,7009535
HCM LEISURE LIMITED,15216205
JPM GAMES LIMITED,8905224
PALAIS BINGO LIMITED,8728175
MERLYN MEDIA LIMITED,9555306
RETROPOLIS CLASSIC AMUSEMENTS LTD,15215837
HALESPIN GAMES LIMITED,15251154
MILTON MILES LTD,15251219
SORUG LTD,15107247
GROSVENOR CASINO EXCHANGE LTD,13261683
RAFFLES GALORE LTD,16075881
BOYDY LTD,14553850
MEGABET UK LTD.,2050734
MVP BETS LTD,14297017
B & M AUTOMATICS LIMITED,636675
OAKHAVEN LOTTERY COMPANY LIMITED,3339521
VITAL&TECH LTD,16078124
WORCESTERSHIRE HOSPICES LOTTERY LIMITED,3689508
NORFOLK GAMING LIMITED,15150005
KV LEISURE LTD,9422420
PIKE CONSULTANTS LTD,11817139
STRONGER THAN THE PAST LTD,11284492
RED4LIME LTD,11876200
POYMATICS LIMITED,810118
CLOUD COMPETITIONS (CUMBRIA) LTD,15256163
INNOVATIS LTD,16108330
MARY STEVENS HOSPICE LOTTERY LIMITED,3885815
BET MILLION LTD,13841068
TREETOPS FUNDING LIMITED,3183322
ANDKER LTD,9343392
BIGTIME COMPETITIONS LTD,14434956
MERKUR SLOTS UK LIMITED,1038403
JAKPOT LIMITED,16047053
STOREXE LIMITED,8849430
GAMING TIME LTD,7556344
BGBET LIMITED,3187011
STRAIGHT FLUSH AFFILIATES LTD,12496268
WHITE ROSE LEISURE (YORKSHIRE) LIMITED,4184414
RAFFLE FACTORY LTD,SC758006
DIAMOND GAMES LIMITED,7188369
36GAMING LIMITED,16060742
MVM GAMING LIMITED,16059203
EQUESTRIAN RISK MANAGEMENT SYNDICATE LTD,6430119
SPREADEX.COM LIMITED,3542879
LOTTERY SYNDICATE LTD,15277866
WIN VOLTAGE LTD,14709602
DOUGLAS MACMILLAN HOSPICE STAFFORDSHIRE LOTTERIES LIMITED,3522075
MAGNUM BET LIMITED,16091247
BFS MARKETING LTD,11815733
EURO CADABRA LTD,SC388369
LECALE COMPETITIONS LTD,NI723995
LOROS LOTTERIES LIMITED,3179552
PRIZE DRAW CLUB LIMITED,SC788993
FUTURAGE LTD.,8782262
THECOMPKIDS LTD,15262055
COOPERS AMUSEMENTS LIMITED,15813055
KHURANA’S BOOZE AND NEWS LTD,13638948
JACS JACS LTD,15223681
THE GIVEAWAY GARDEN CENTRE LTD,SC759216
THE NOBLE LEISURE COMPANY LIMITED,SC135188
LUCKY CAT CASINO LIMITED,11816075
SP GRAHAM 2013 LTD,NI621208
FRANK BOOTH & SONS LIMITED,690511
F B (AIRPORTS) LIMITED,6566441
SP GRAHAM RETAIL LTD,NI621184
ST. CATHERINE'S HOSPICE PROMOTIONS LIMITED,2767558
FULL MOON GIVERWAYS LTD,15266298
XOXOWIN LTD,16112782
SUNDERLAND (COURSE) LIMITED,1636120
THE HOUSE OF QAMI LTD,15327156
BB BINGO LIMITED,13770383
BOOTLEG DIGITAL LTD,8105903
SHIPLEY ESTATES LIMITED,2893985
SPIFFING BET LIMITED,11884567
AUTOGEAR COMPETITIONS LIMITED,15302472
SCORESHARES LTD,13965332
TRIANGLE AMUSEMENTS LIMITED,361399
LETZ PLAY LIMITED,5773038
LEE BOLINGBROKE RACING LTD,6444579
SHIPLEY INVESTMENTS LIMITED,6514609
PIOR LIMITED,9966203
NOBLE CORP LTD,11882351
22ADVANTAGE LTD,12031147
ITECH GAMING LIMITED,10668656
UK PUNTERS LTD,13224001
WATTON MEDIA LIMITED,11163181
CHARLIE EDWARDS LEISURE LTD,11266971
RNIB FEEL GOOD FRIDAY LOTTERY LIMITED,11275644
FLUTTER MEDIA LTD,11283879
SHAFTESBURY CASINO LIMITED,10071143
S.EDWARDS AMUSEMENTS LTD,14048374
ACE & JACK’S POKER LEAGUE LTD,13998093
CROSSREAGH,NI693709
AK BETS ONLINE LIMITED,14620743
FALKON&KO LIMITED,14702581
MJ GAMING LIMITED,14728214
REEL POWER LIMITED,14851915
NOVA CASINO LTD,14772516
TOP TOMBOLA LTD,14772799
MYMONEYMEMBERSHIP LTD,14540960
LORD BETTING GROUP LTD,14528795
IFINDUK LTD,14656260
SUPERHIT RAFFLES LIMITED,14742581
LEDDY CONSULTING LTD,13036663
